Date : 2024-01-01 17:03:22
Directory : c:\Users\49440\Desktop\Time-Tracker
Total : 99 files,  4374 codes, 587 comments, 759 blanks, all 5720 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         45 |      2,551 |        200 |        392 |      3,143 |
| C++             |         16 |        538 |        121 |        182 |        841 |
| XML             |         10 |        463 |         48 |         12 |        523 |
| CMake           |          7 |        338 |        108 |         87 |        533 |
| JSON            |          4 |        248 |          0 |          4 |        252 |
| Groovy          |          3 |         94 |          5 |         22 |        121 |
| Swift           |          6 |         54 |          7 |         20 |         81 |
| HTML            |          1 |         38 |         16 |          6 |         60 |
| YAML            |          3 |         29 |         82 |         23 |        134 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |         99 |      4,374 |        587 |        759 |      5,720 |
| . (Files)                                                                                                 |          4 |         39 |         82 |         30 |        151 |
| android                                                                                                   |         12 |        161 |         51 |         33 |        245 |
| android (Files)                                                                                           |          3 |         46 |          0 |         11 |         57 |
| android\app                                                                                               |          8 |        110 |         51 |         21 |        182 |
| android\app (Files)                                                                                       |          1 |         51 |          5 |         12 |         68 |
| android\app\src                                                                                           |          7 |         59 |         46 |          9 |        114 |
| android\app\src\debug                                                                                     |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                      |          5 |         53 |         38 |          7 |         98 |
| android\app\src\main (Files)                                                                              |          1 |         27 |          6 |          1 |         34 |
| android\app\src\main\res                                                                                  |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                         |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                     |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                           |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                     |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                   |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                            |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                    |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                       |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                                |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                        |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                           |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                             |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                           |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                     |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                       |         45 |      2,551 |        200 |        392 |      3,143 |
| lib (Files)                                                                                               |          1 |         36 |          3 |          9 |         48 |
| lib\common                                                                                                |         12 |        319 |         15 |         65 |        399 |
| lib\common (Files)                                                                                        |          1 |         57 |          9 |         15 |         81 |
| lib\common\dao                                                                                            |          5 |         75 |          3 |         23 |        101 |
