"filename", "language", "C++", "YAML", "CMake", "Swift", "Dart", "JSON", "comment", "blank", "total"
"c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\category_dao.dart", "Dart", 0, 0, 0, 0, -1, 0, 0, -1, -2
"c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\event_dao.dart", "Dart", 0, 0, 0, 0, 6, 0, 0, 6, 12
"c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\record_dao.dart", "Dart", 0, 0, 0, 0, 19, 0, 2, 6, 27
"c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\user_dao.dart", "Dart", 0, 0, 0, 0, 33, 0, 6, 8, 47
"c:\Users\49440\Desktop\Time-Tracker\lib\common\model\category.dart", "Dart", 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\49440\Desktop\Time-Tracker\lib\common\model\event.dart", "Dart", 0, 0, 0, 0, 8, 0, -1, 0, 7
"c:\Users\49440\Desktop\Time-Tracker\lib\common\model\record.dart", "Dart", 0, 0, 0, 0, 10, 0, 2, 2, 14
"c:\Users\49440\Desktop\Time-Tracker\lib\common\model\user.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\49440\Desktop\Time-Tracker\lib\common\user_manager.dart", "Dart", 0, 0, 0, 0, 6, 0, 3, 7, 16
"c:\Users\49440\Desktop\Time-Tracker\lib\common\utils\data.dart", "Dart", 0, 0, 0, 0, 76, 0, 11, 5, 92
"c:\Users\49440\Desktop\Time-Tracker\lib\common\utils\testCategory.json", "JSON", 0, 0, 0, 0, 0, 81, 0, 0, 81
"c:\Users\49440\Desktop\Time-Tracker\lib\common\utils\utils.dart", "Dart", 0, 0, 0, 0, 40, 0, 1, 5, 46
"c:\Users\49440\Desktop\Time-Tracker\lib\main.dart", "Dart", 0, 0, 0, 0, 3, 0, -1, 1, 3
"c:\Users\49440\Desktop\Time-Tracker\lib\page\activity\activity_controller.dart", "Dart", 0, 0, 0, 0, 37, 0, 13, 15, 65
"c:\Users\49440\Desktop\Time-Tracker\lib\page\activity\activity_page.dart", "Dart", 0, 0, 0, 0, -8, 0, -1, 3, -6
"c:\Users\49440\Desktop\Time-Tracker\lib\page\activity\widget\activiting_widget.dart", "Dart", 0, 0, 0, 0, 19, 0, 2, 3, 24
"c:\Users\49440\Desktop\Time-Tracker\lib\page\activity\widget\event_button.dart", "Dart", 0, 0, 0, 0, -13, 0, -5, 0, -18
"c:\Users\49440\Desktop\Time-Tracker\lib\page\activity\widget\section.dart", "Dart", 0, 0, 0, 0, -4, 0, 0, 0, -4
"c:\Users\49440\Desktop\Time-Tracker\lib\page\category_manage\add_category.dart", "Dart", 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\49440\Desktop\Time-Tracker\lib\page\category_manage\category_event_manage_page.dart", "Dart", 0, 0, 0, 0, -4, 0, 0, 1, -3
"c:\Users\49440\Desktop\Time-Tracker\lib\page\category_manage\widget\category_event_list.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\49440\Desktop\Time-Tracker\lib\page\group\group_page.dart", "Dart", 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\49440\Desktop\Time-Tracker\lib\page\home\view.dart", "Dart", 0, 0, 0, 0, -2, 0, -1, 0, -3
"c:\Users\49440\Desktop\Time-Tracker\lib\page\login_register\controller.dart", "Dart", 0, 0, 0, 0, 4, 0, -1, 0, 3
"c:\Users\49440\Desktop\Time-Tracker\lib\page\login_register\widgets\body.dart", "Dart", 0, 0, 0, 0, 5, 0, 0, 2, 7
"c:\Users\49440\Desktop\Time-Tracker\lib\page\login_register\widgets\login_form.dart", "Dart", 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\49440\Desktop\Time-Tracker\lib\page\login_register\widgets\menu.dart", "Dart", 0, 0, 0, 0, -22, 0, 0, -1, -23
