"filename", "language", "Dart", "Java Properties", "JSON", "comment", "blank", "total"
"c:\Users\49440\Desktop\Time-Tracker\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 1, 0, 1
"c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\category_dao.dart", "Dart", 8, 0, 0, 0, 0, 8
"c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\user_dao.dart", "Dart", 7, 0, 0, 1, -1, 7
"c:\Users\49440\Desktop\Time-Tracker\lib\common\model\user.dart", "Dart", 10, 0, 0, 0, 1, 11
"c:\Users\49440\Desktop\Time-Tracker\lib\common\utils\testCategory.json", "JSON", 0, 0, -81, 0, 0, -81
"c:\Users\49440\Desktop\Time-Tracker\lib\common\utils\utils.dart", "Dart", -1, 0, 0, 0, 0, -1
"c:\Users\49440\Desktop\Time-Tracker\lib\main.dart", "Dart", 15, 0, 0, 3, 1, 19
"c:\Users\49440\Desktop\Time-Tracker\lib\page\activity\activity_controller.dart", "Dart", 8, 0, 0, 3, 4, 15
"c:\Users\49440\Desktop\Time-Tracker\lib\page\activity\activity_page.dart", "Dart", -1, 0, 0, 1, 0, 0
"c:\Users\49440\Desktop\Time-Tracker\lib\page\category_manage\widget\category_event_list.dart", "Dart", 1, 0, 0, 0, 0, 1
"c:\Users\49440\Desktop\Time-Tracker\lib\page\login_register\controller.dart", "Dart", 0, 0, 0, 1, -1, 0
"c:\Users\49440\Desktop\Time-Tracker\lib\page\setting\setting_page.dart", "Dart", 9, 0, 0, 0, -1, 8
"c:\Users\49440\Desktop\Time-Tracker\lib\page\timegrid\timgrid_controller.dart", "Dart", 0, 0, 0, 0, 4, 4
"c:\Users\49440\Desktop\Time-Tracker\lib\page\timegrid\widget\category_event_line\category_event_line.dart", "Dart", 1, 0, 0, 0, 0, 1
"Total", "-", 57, 0, -81, 10, 7, -7
