"filename", "language", "Dart", "YAML", "comment", "blank", "total"
"c:\Users\49440\Desktop\Time-Tracker\lib\common\controller\category_controller.dart", "Dart", 12, 0, 0, 4, 16
"c:\Users\49440\Desktop\Time-Tracker\lib\common\controller\record_controller.dart", "Dart", 20, 0, 7, 7, 34
"c:\Users\49440\Desktop\Time-Tracker\lib\common\controller\user_controller.dart", "Dart", 76, 0, 15, 25, 116
"c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\category_dao.dart", "Dart", 4, 0, 0, 0, 4
"c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\event_dao.dart", "Dart", 0, 0, 0, -4, -4
"c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\record_dao.dart", "Dart", 20, 0, 6, 5, 31
"c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\user_dao.dart", "Dart", 5, 0, 1, 1, 7
"c:\Users\49440\Desktop\Time-Tracker\lib\common\model\category.dart", "Dart", -27, 0, -1, -6, -34
"c:\Users\49440\Desktop\Time-Tracker\lib\common\model\event_category.dart", "Dart", 27, 0, 1, 6, 34
"c:\Users\49440\Desktop\Time-Tracker\lib\common\model\event_record.dart", "Dart", 30, 0, 2, 6, 38
"c:\Users\49440\Desktop\Time-Tracker\lib\common\model\record.dart", "Dart", -30, 0, -2, -6, -38
"c:\Users\49440\Desktop\Time-Tracker\lib\common\user_manager.dart", "Dart", -63, 0, -12, -22, -97
"c:\Users\49440\Desktop\Time-Tracker\lib\main.dart", "Dart", 4, 0, 1, 1, 6
"c:\Users\49440\Desktop\Time-Tracker\lib\page\activity\activity_controller.dart", "Dart", -1, 0, -1, -1, -3
"c:\Users\49440\Desktop\Time-Tracker\lib\page\activity\activity_page.dart", "Dart", 1, 0, 0, 0, 1
"c:\Users\49440\Desktop\Time-Tracker\lib\page\activity\widget\activiting_widget.dart", "Dart", -1, 0, 0, 0, -1
"c:\Users\49440\Desktop\Time-Tracker\lib\page\activity\widget\event_button.dart", "Dart", -1, 0, 0, 0, -1
"c:\Users\49440\Desktop\Time-Tracker\lib\page\category_manage\widget\category_event_list.dart", "Dart", -22, 0, -2, -2, -26
"c:\Users\49440\Desktop\Time-Tracker\lib\page\home\view.dart", "Dart", 0, 0, 0, 1, 1
"c:\Users\49440\Desktop\Time-Tracker\lib\page\login_register\view.dart", "Dart", 1, 0, 0, 0, 1
"c:\Users\49440\Desktop\Time-Tracker\lib\page\login_register\widgets\body.dart", "Dart", -1, 0, 0, 0, -1
"c:\Users\49440\Desktop\Time-Tracker\lib\page\login_register\widgets\login_form.dart", "Dart", -1, 0, 0, 0, -1
"c:\Users\49440\Desktop\Time-Tracker\lib\page\login_register\widgets\register_form.dart", "Dart", -1, 0, 0, 0, -1
"c:\Users\49440\Desktop\Time-Tracker\lib\page\record_list\record_list_page.dart", "Dart", 10, 0, 0, 1, 11
"c:\Users\49440\Desktop\Time-Tracker\lib\page\setting\setting_page.dart", "Dart", -7, 0, 2, 1, -4
"c:\Users\49440\Desktop\Time-Tracker\lib\page\statistic\statistic.dart", "Dart", -26, 0, 0, -3, -29
"c:\Users\49440\Desktop\Time-Tracker\lib\page\statistic\view.dart", "Dart", 26, 0, 0, 3, 29
"c:\Users\49440\Desktop\Time-Tracker\lib\page\time_line\record_list\record_list_page.dart", "Dart", 7, 0, 0, 1, 8
"c:\Users\49440\Desktop\Time-Tracker\lib\page\time_line\time_line_page.dart", "Dart", 2, 0, 1, -1, 2
"c:\Users\49440\Desktop\Time-Tracker\lib\page\time_line\time_line_page_controller.dart", "Dart", 23, 0, 0, 9, 32
"c:\Users\49440\Desktop\Time-Tracker\lib\page\time_line\timegrid\timgrid_controller.dart", "Dart", 196, 0, 53, 54, 303
"c:\Users\49440\Desktop\Time-Tracker\lib\page\time_line\timegrid\view.dart", "Dart", 26, 0, 1, 7, 34
"c:\Users\49440\Desktop\Time-Tracker\lib\page\time_line\timegrid\widget\category_event_line\category_button.dart", "Dart", 102, 0, 5, 14, 121
"c:\Users\49440\Desktop\Time-Tracker\lib\page\time_line\timegrid\widget\category_event_line\category_event_line.dart", "Dart", 21, 0, 3, 8, 32
"c:\Users\49440\Desktop\Time-Tracker\lib\page\time_line\timegrid\widget\time_line_bar\time_line_bar.dart", "Dart", 21, 0, 2, 5, 28
"c:\Users\49440\Desktop\Time-Tracker\lib\page\time_line\timegrid\widget\timegrid.dart", "Dart", 247, 0, 21, 51, 319
"c:\Users\49440\Desktop\Time-Tracker\lib\page\timegrid\timgrid_controller.dart", "Dart", -195, 0, -53, -58, -306
"c:\Users\49440\Desktop\Time-Tracker\lib\page\timegrid\view.dart", "Dart", -26, 0, -1, -5, -32
"c:\Users\49440\Desktop\Time-Tracker\lib\page\timegrid\widget\category_event_line\category_button.dart", "Dart", -97, 0, -5, -14, -116
"c:\Users\49440\Desktop\Time-Tracker\lib\page\timegrid\widget\category_event_line\category_event_line.dart", "Dart", -41, 0, -4, -10, -55
"c:\Users\49440\Desktop\Time-Tracker\lib\page\timegrid\widget\time_line_bar\time_line_bar.dart", "Dart", -21, 0, -2, -5, -28
"c:\Users\49440\Desktop\Time-Tracker\lib\page\timegrid\widget\timegrid.dart", "Dart", -243, 0, -21, -49, -313
"c:\Users\49440\Desktop\Time-Tracker\pubspec.yaml", "YAML", 0, 0, 0, 1, 1
"Total", "-", 77, 0, 17, 25, 119
